timestamp_local,food_name,label,temperature,humidity,mq2_ppm,mq3_ppm,mq4_ppm,mq135_ppm,mq136_ppm,mq137_ppm,co2
2026-06-28 8:51:33,Rice,Fresh,29.4,95.6,3050.6,104.3,689.7,179.7,96.7,157.3,942.0
2026-06-28 8:56:39,Rice,Fresh,29.4,95.2,3028.3,103.8,681.9,177.6,96.1,158.6,938.0
2026-06-28 9:01:45,Rice,Fresh,29.5,95.0,3002.7,101.2,674.3,173.9,95.3,152.1,933.0
2026-06-28 9:06:51,Rice,Fresh,29.5,93.7,2985.2,98.5,653.8,169.4,97.7,148.3,928.0
2026-06-28 9:11:57,Rice,Fresh,29.6,92.3,2999.0,94.3,620.4,167.1,96.4,145.9,910.0
2026-06-28 9:17:03,Rice,Fresh,29.7,91.5,2974.0,88.6,578.0,165.3,94.3,143.7,898.0
2026-06-28 9:22:09,Rice,Fresh,29.7,90.9,2856.7,86.4,596.3,163.7,91.6,137.6,876.0
2026-06-28 9:27:15,Rice,Fresh,29.8,89.6,2729.4,79.3,603.4,162.9,82.9,135.3,852.0
2026-06-28 9:32:21,Rice,Fresh,29.9,89.3,2843.1,78.1,550.7,158.4,76.7,133.7,862.0
2026-06-28 9:37:27,Rice,Fresh,30.1,89.0,2627.3,72.7,523.4,156.8,73.2,128.6,841.0
2026-06-28 9:42:33,Rice,Fresh,30.2,88.9,2589.2,70.2,501.5,154.9,75.9,123.9,818.0
2026-06-28 9:47:56,Rice,Fresh,30.3,88.8,2512.8,61.7,485.7,151.6,76.4,115.5,804.0
2026-06-28 9:52:56,Rice,Fresh,30.5,87.8,1410.3,69.9,441.4,155.3,62.8,122.4,795.0
2026-06-28 9:57:56,Rice,Fresh,30.6,87.3,2909.5,86.1,460.1,166.2,67.8,138.4,846.0
2026-06-28 10:02:56,Rice,Fresh,30.7,88.5,2923.4,79.9,351.6,154.6,78.8,138.4,803.0
2026-06-28 10:07:56,Rice,Fresh,30.8,89.5,2677.3,71.4,340.3,160.6,61.3,125.9,762.0
2026-06-28 10:12:55,Rice,Fresh,30.9,88.1,2612.5,67.1,381.3,157.7,73.7,119.0,759.0
2026-06-28 10:17:56,Rice,Fresh,31.0,86.5,2579.9,65.8,370.0,157.9,68.3,113.3,772.0
2026-06-28 10:22:56,Rice,Fresh,31.1,85.6,2574.4,65.5,261.9,157.7,69.2,116.3,776.0
2026-06-28 10:27:56,Rice,Fresh,31.2,84.9,2596.7,66.2,256.8,157.2,60.0,116.7,775.0
2026-06-28 10:32:56,Rice,Fresh,31.4,83.6,2568.9,65.7,260.8,157.0,62.9,115.9,775.0
2026-06-28 10:37:56,Rice,Fresh,31.5,83.0,2574.4,67.1,242.9,156.3,77.2,117.2,770.0
2026-06-28 10:42:55,Rice,Fresh,31.6,82.8,2461.9,66.1,280.6,156.9,72.5,117.1,758.0
2026-06-28 10:47:55,Rice,Fresh,31.7,82.7,1695.6,78.3,383.5,159.8,70.5,126.3,783.0
2026-06-28 10:52:56,Rice,Fresh,31.8,83.1,2913.6,85.4,415.4,165.1,84.2,137.0,791.0
2026-06-28 10:57:56,Rice,Fresh,31.9,84.6,3060.4,91.8,337.0,150.0,89.1,145.6,808.0
2026-06-28 11:02:56,Rice,Fresh,31.9,86.6,2978.4,87.4,503.3,170.2,91.6,143.6,799.0
2026-06-28 11:07:55,Rice,Fresh,32.0,87.8,1491.6,70.5,307.3,161.9,70.3,124.7,754.0
2026-06-28 11:12:56,Rice,Fresh,31.9,85.0,1615.4,67.6,245.8,159.0,66.8,119.5,765.0
2026-06-28 11:17:55,Rice,Fresh,32.0,82.9,1547.3,68.3,260.4,158.7,68.7,120.4,768.0
2026-06-28 11:22:55,Rice,Fresh,32.0,82.8,1508.4,67.5,254.9,159.2,67.1,118.6,769.0
2026-06-28 11:27:56,Rice,Fresh,32.1,82.6,1452.4,66.8,264.1,158.5,67.2,119.2,772.0
2026-06-28 11:32:56,Rice,Fresh,32.2,81.9,1604.0,67.0,241.0,158.1,67.3,118.3,772.0
2026-06-28 11:37:56,Rice,Fresh,32.2,81.5,2389.0,64.0,226.4,157.0,65.8,116.8,761.0
2026-06-28 11:42:56,Rice,Fresh,32.3,80.2,2571.4,65.3,219.4,157.8,65.5,115.4,765.0
2026-06-28 11:47:55,Rice,Fresh,32.4,79.8,2572.5,66.2,222.0,157.3,65.6,115.7,764.0
2026-06-28 11:52:56,Rice,Fresh,32.5,78.8,2787.9,77.7,246.2,141.5,75.5,127.7,778.0
2026-06-28 11:57:56,Rice,Fresh,32.5,80.9,2882.1,80.9,374.7,163.8,84.9,133.9,767.0
2026-06-28 12:02:55,Rice,Spoiled,32.6,82.7,1881.0,96.3,535.9,170.6,97.7,146.3,798.0
2026-06-28 12:07:56,Rice,Spoiled,32.8,84.3,3168.1,99.5,634.4,174.6,86.8,152.6,844.0
2026-06-28 12:12:56,Rice,Spoiled,32.8,86.2,3294.1,102.2,690.8,179.3,95.0,158.1,882.0
2026-06-28 12:17:56,Rice,Spoiled,32.8,87.2,3312.8,110.8,742.1,182.0,96.9,162.9,883.0
2026-06-28 12:22:55,Rice,Spoiled,32.8,87.9,3383.9,108.7,763.7,180.4,106.4,163.1,863.0
2026-06-28 12:27:55,Rice,Spoiled,32.8,88.7,3426.4,106.1,792.7,183.0,82.2,164.6,893.0
2026-06-28 12:32:56,Rice,Spoiled,32.8,89.3,3148.4,102.3,740.3,180.1,105.3,160.4,862.0
2026-06-28 12:37:56,Rice,Spoiled,32.8,89.6,3405.5,106.2,795.6,182.2,108.6,163.0,866.0
2026-06-28 12:42:56,Rice,Spoiled,32.8,90.0,2169.6,106.1,762.6,179.6,106.7,162.6,849.0
2026-06-28 12:47:56,Rice,Spoiled,32.8,90.2,3422.3,105.5,675.8,157.3,78.8,163.1,846.0
2026-06-28 12:52:56,Rice,Spoiled,32.9,90.6,1967.4,103.1,744.3,177.9,77.8,159.5,841.0
2026-06-28 12:57:55,Rice,Spoiled,33.0,90.5,1979.5,100.2,738.1,177.2,89.5,157.9,827.0
2026-06-28 13:02:55,Rice,Spoiled,33.0,90.6,3439.6,107.2,826.7,180.5,106.7,162.1,871.0
2026-06-28 13:07:55,Rice,Spoiled,33.1,90.7,1925.6,100.5,744.3,176.4,103.9,157.3,830.0
2026-06-28 13:12:55,Rice,Spoiled,33.1,90.8,3082.4,99.6,720.9,177.2,105.0,157.1,829.0
2026-06-28 13:17:55,Rice,Spoiled,33.2,90.7,1938.8,103.5,759.0,178.0,108.5,160.4,849.0
2026-06-28 13:22:55,Rice,Spoiled,33.2,90.8,1941.8,104.8,762.6,178.1,109.5,159.8,835.0
2026-06-28 13:27:55,Rice,Spoiled,33.3,90.8,1764.5,100.8,769.2,178.9,108.4,159.8,841.0
2026-06-28 13:32:56,Rice,Spoiled,33.3,90.6,3338.1,102.9,755.3,179.8,108.9,158.7,843.0
2026-06-28 13:37:56,Rice,Spoiled,33.4,90.6,3115.0,93.9,686.4,176.8,103.5,156.2,846.0
2026-06-28 13:42:56,Rice,Spoiled,33.4,90.6,1997.4,96.7,489.7,154.3,104.8,157.9,852.0
2026-06-28 13:47:56,Rice,Spoiled,33.5,90.6,2048.4,99.4,695.2,176.5,104.4,154.7,831.0
2026-06-28 13:52:59,Rice,Spoiled,33.5,90.5,1963.7,91.2,682.1,175.9,102.4,153.6,824.0
2026-06-28 13:57:56,Rice,Spoiled,33.5,90.6,2048.4,110.0,706.6,176.9,110.5,153.5,829.0
2026-06-28 14:02:57,Rice,Spoiled,33.5,90.8,2517.6,150.5,1355.3,209.6,137.2,191.5,1120.0
2026-06-28 14:07:56,Rice,Spoiled,33.5,89.8,2450.5,154.7,1500.7,215.9,140.5,197.0,1218.0
2026-06-28 14:12:55,Rice,Spoiled,33.5,88.7,2538.1,159.2,1564.1,217.4,140.9,198.8,1189.0
2026-06-28 14:17:56,Rice,Spoiled,33.5,89.2,2418.7,153.7,1426.0,211.2,135.9,193.0,1078.0
2026-06-28 14:22:55,Rice,Spoiled,33.4,89.6,2378.4,139.6,1314.3,206.7,128.2,188.2,1125.0
2026-06-28 14:27:55,Rice,Spoiled,33.4,89.1,2033.0,112.9,892.3,186.0,108.4,166.0,875.0
2026-06-28 14:32:55,Rice,Spoiled,33.3,90.7,2006.2,108.0,888.3,184.6,107.4,162.6,880.0
2026-06-28 14:37:56,Rice,Spoiled,33.4,91.3,1993.0,99.4,595.6,160.5,108.4,160.3,839.0
2026-06-28 14:42:56,Rice,Spoiled,33.4,91.2,1841.8,91.5,679.1,176.3,98.4,151.6,817.0
2026-06-28 14:47:55,Rice,Spoiled,33.4,91.2,1968.9,110.7,822.7,180.3,110.7,159.9,858.0
2026-06-28 14:52:55,Rice,Spoiled,33.4,91.2,1952.0,98.3,818.7,179.2,106.8,153.9,848.0
2026-06-28 14:57:55,Rice,Spoiled,33.5,91.3,1950.9,105.3,817.6,179.5,108.9,159.4,855.0
2026-06-28 15:02:55,Rice,Spoiled,33.5,91.4,1991.6,105.4,870.7,182.5,110.9,162.7,865.0
2026-06-28 15:07:55,Rice,Spoiled,33.4,91.4,1869.6,100.8,745.1,178.8,103.7,156.3,934.0
2026-06-28 15:12:55,Rice,Spoiled,33.4,89.8,1978.4,106.0,789.7,180.6,109.3,159.9,920.0
2026-06-28 15:17:55,Rice,Spoiled,33.4,90.0,1937.4,99.3,798.2,180.4,105.8,158.3,889.0
2026-06-28 15:22:56,Rice,Spoiled,33.4,90.5,1838.8,92.6,674.4,176.5,99.7,152.5,831.0
2026-06-28 15:27:55,Rice,Spoiled,33.4,90.9,2000.7,103.4,866.7,183.7,110.7,163.0,917.0
2026-06-28 15:32:55,Rice,Spoiled,33.4,91.3,1976.6,92.0,592.7,160.1,109.6,161.6,873.0
2026-06-28 15:37:56,Rice,Spoiled,33.3,91.4,1853.8,90.9,713.9,178.2,101.0,154.8,818.0
2026-06-28 15:42:56,Rice,Spoiled,33.3,91.2,1827.1,89.9,696.3,176.2,99.9,152.8,812.0
2026-06-28 15:47:55,Rice,Spoiled,33.2,90.9,1849.1,90.9,721.6,177.7,102.3,147.7,812.0
2026-06-28 15:52:55,Rice,Spoiled,33.1,90.9,1775.8,83.8,657.1,175.1,95.8,147.9,807.0
2026-06-28 15:57:55,Rice,Spoiled,33.0,91.4,1702.9,79.4,604.8,171.3,90.0,142.2,793.0
2026-06-28 16:02:55,Rice,Spoiled,32.9,92.0,2116.5,122.6,1024.5,189.0,132.5,175.7,857.0
2026-06-28 16:07:55,Rice,Spoiled,32.8,91.8,2107.7,109.6,1096.3,195.6,117.9,175.1,983.0
2026-06-28 16:12:55,Rice,Spoiled,32.5,92.3,1841.4,88.3,807.7,181.8,98.7,154.4,812.0
2026-06-28 16:17:55,Rice,Spoiled,32.4,92.3,1892.3,98.5,881.0,183.8,104.7,157.7,862.0
2026-06-28 16:22:55,Rice,Spoiled,32.3,93.3,1925.6,93.4,879.9,185.1,105.2,157.3,831.0
2026-06-28 16:27:55,Rice,Spoiled,32.2,93.4,1852.4,88.1,550.2,153.8,97.8,154.0,834.0
2026-06-28 16:32:56,Rice,Spoiled,32.0,93.2,1822.0,90.7,759.7,178.9,99.3,150.0,805.0
2026-06-28 16:37:56,Rice,Spoiled,32.0,94.1,2094.1,120.8,1068.5,193.8,118.4,168.6,960.0
2026-06-28 16:42:56,Rice,Spoiled,31.8,91.5,2433.7,154.3,1467.0,213.4,137.7,190.1,1153.0
2026-06-28 16:47:56,Rice,Spoiled,31.7,92.2,2098.9,120.1,1117.9,199.2,115.5,173.2,927.0
